A:
to: 10.0.0.1 | src: 10.0.0.1 | hop: 10.0.0.1 | cost: 0
to: 10.0.5.1 | src: 10.0.0.1 | hop: 10.0.2.1 | cost: 1
to: 10.0.8.2 | src: 10.0.1.1 | hop: 10.0.0.1 | cost: 1
to: 10.0.8.2 | src: 10.0.0.1 | hop: 10.0.2.1 | cost: 1
to: 10.0.8.2 | src: 10.0.2.1 | hop: 10.0.0.1 | cost: 1
to: 10.0.3.2 | src: 10.0.1.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.3.2 | src: 10.0.0.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.3.2 | src: 10.0.2.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.4.2 | src: 10.0.0.1 | hop: 10.0.0.2 | cost: 2
to: 10.0.4.2 | src: 10.0.1.1 | hop: 10.0.0.2 | cost: 2
to: 10.0.4.2 | src: 10.0.2.1 | hop: 10.0.0.2 | cost: 2
to: 10.0.5.2 | src: 10.0.2.1 | hop: 10.0.0.2 | cost: 2
to: 10.0.5.2 | src: 10.0.0.1 | hop: 10.0.0.2 | cost: 2
to: 10.0.5.2 | src: 10.0.1.1 | hop: 10.0.0.2 | cost: 2
to: 10.0.6.1 | src: 10.0.2.1 | hop: 10.0.0.2 | cost: 2
to: 10.0.6.1 | src: 10.0.1.1 | hop: 10.0.0.2 | cost: 2
to: 10.0.6.1 | src: 10.0.0.1 | hop: 10.0.0.2 | cost: 2
to: 10.0.7.1 | src: 10.0.1.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.7.1 | src: 10.0.0.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.7.1 | src: 10.0.2.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.8.1 | src: 10.0.1.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.8.1 | src: 10.0.0.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.8.1 | src: 10.0.2.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.1.2 | src: 10.0.1.1 | hop: 10.0.5.2 | cost: 4
to: 10.0.1.2 | src: 10.0.2.1 | hop: 10.0.5.2 | cost: 4
to: 10.0.1.2 | src: 10.0.0.1 | hop: 10.0.5.2 | cost: 4
to: 10.0.6.2 | src: 10.0.0.1 | hop: 10.0.5.2 | cost: 4
to: 10.0.6.2 | src: 10.0.1.1 | hop: 10.0.5.2 | cost: 4
to: 10.0.6.2 | src: 10.0.2.1 | hop: 10.0.5.2 | cost: 4
to: 10.0.7.2 | src: 10.0.2.1 | hop: 10.0.5.2 | cost: 4
to: 10.0.7.2 | src: 10.0.1.1 | hop: 10.0.5.2 | cost: 4
to: 10.0.7.2 | src: 10.0.0.1 | hop: 10.0.5.2 | cost: 4
B:
to: 10.0.2.2 | src: 10.0.2.2 | hop: 10.0.2.2 | cost: 0
to: 10.0.2.2 | src: 10.0.8.2 | hop: 10.0.2.2 | cost: 0
to: 10.0.2.2 | src: 10.0.5.1 | hop: 10.0.2.2 | cost: 0
to: 10.0.5.1 | src: 10.0.2.2 | hop: 10.0.5.1 | cost: 0
to: 10.0.5.1 | src: 10.0.5.1 | hop: 10.0.5.1 | cost: 0
to: 10.0.5.1 | src: 10.0.8.2 | hop: 10.0.5.1 | cost: 0
to: 10.0.8.2 | src: 10.0.2.2 | hop: 10.0.8.2 | cost: 0
to: 10.0.8.2 | src: 10.0.5.1 | hop: 10.0.8.2 | cost: 0
to: 10.0.8.2 | src: 10.0.8.2 | hop: 10.0.8.2 | cost: 0
to: 10.0.0.1 | src: 10.0.2.2 | hop: 10.0.5.1 | cost: 1
to: 10.0.0.1 | src: 10.0.8.2 | hop: 10.0.5.1 | cost: 1
to: 10.0.0.1 | src: 10.0.5.1 | hop: 10.0.2.2 | cost: 1
to: 10.0.1.1 | src: 10.0.5.1 | hop: 10.0.2.2 | cost: 1
to: 10.0.1.1 | src: 10.0.8.2 | hop: 10.0.5.1 | cost: 1
to: 10.0.1.1 | src: 10.0.2.2 | hop: 10.0.5.1 | cost: 1
to: 10.0.2.1 | src: 10.0.8.2 | hop: 10.0.5.1 | cost: 1
to: 10.0.2.1 | src: 10.0.2.2 | hop: 10.0.2.1 | cost: 1
to: 10.0.2.1 | src: 10.0.5.1 | hop: 10.0.2.2 | cost: 1
to: 10.0.3.2 | src: 10.0.2.2 | hop: 10.0.8.1 | cost: 1
to: 10.0.3.2 | src: 10.0.5.1 | hop: 10.0.2.2 | cost: 1
to: 10.0.3.2 | src: 10.0.8.2 | hop: 10.0.5.1 | cost: 1
to: 10.0.7.1 | src: 10.0.5.1 | hop: 10.0.2.2 | cost: 1
to: 10.0.7.1 | src: 10.0.2.2 | hop: 10.0.2.2 | cost: 1
to: 10.0.7.1 | src: 10.0.8.2 | hop: 10.0.5.1 | cost: 1
to: 10.0.8.1 | src: 10.0.8.2 | hop: 10.0.8.1 | cost: 1
to: 10.0.8.1 | src: 10.0.5.1 | hop: 10.0.2.2 | cost: 1
to: 10.0.8.1 | src: 10.0.2.2 | hop: 10.0.5.1 | cost: 1
to: 10.0.0.2 | src: 10.0.5.1 | hop: 10.0.2.1 | cost: 2
to: 10.0.0.2 | src: 10.0.2.2 | hop: 10.0.2.1 | cost: 2
to: 10.0.0.2 | src: 10.0.8.2 | hop: 10.0.2.1 | cost: 2
to: 10.0.3.1 | src: 10.0.5.1 | hop: 10.0.2.1 | cost: 2
to: 10.0.3.1 | src: 10.0.2.2 | hop: 10.0.2.1 | cost: 2
to: 10.0.3.1 | src: 10.0.8.2 | hop: 10.0.2.1 | cost: 2
to: 10.0.4.1 | src: 10.0.2.2 | hop: 10.0.2.1 | cost: 2
to: 10.0.4.1 | src: 10.0.5.1 | hop: 10.0.2.1 | cost: 2
to: 10.0.4.1 | src: 10.0.8.2 | hop: 10.0.2.1 | cost: 2
to: 10.0.4.2 | src: 10.0.5.1 | hop: 10.0.0.2 | cost: 3
to: 10.0.4.2 | src: 10.0.8.2 | hop: 10.0.0.2 | cost: 3
to: 10.0.4.2 | src: 10.0.2.2 | hop: 10.0.0.2 | cost: 3
to: 10.0.5.2 | src: 10.0.2.2 | hop: 10.0.0.2 | cost: 3
to: 10.0.5.2 | src: 10.0.8.2 | hop: 10.0.0.2 | cost: 3
to: 10.0.5.2 | src: 10.0.5.1 | hop: 10.0.0.2 | cost: 3
to: 10.0.6.1 | src: 10.0.2.2 | hop: 10.0.0.2 | cost: 3
to: 10.0.6.1 | src: 10.0.8.2 | hop: 10.0.0.2 | cost: 3
to: 10.0.6.1 | src: 10.0.5.1 | hop: 10.0.0.2 | cost: 3
to: 10.0.1.2 | src: 10.0.8.2 | hop: 10.0.3.2 | cost: 4
to: 10.0.1.2 | src: 10.0.5.1 | hop: 10.0.3.2 | cost: 4
to: 10.0.1.2 | src: 10.0.2.2 | hop: 10.0.3.2 | cost: 4
to: 10.0.6.2 | src: 10.0.5.1 | hop: 10.0.3.2 | cost: 4
to: 10.0.6.2 | src: 10.0.8.2 | hop: 10.0.3.2 | cost: 4
to: 10.0.6.2 | src: 10.0.2.2 | hop: 10.0.3.2 | cost: 4
to: 10.0.7.2 | src: 10.0.8.2 | hop: 10.0.3.2 | cost: 4
to: 10.0.7.2 | src: 10.0.5.1 | hop: 10.0.3.2 | cost: 4
to: 10.0.7.2 | src: 10.0.2.2 | hop: 10.0.3.2 | cost: 4
C:
to: 10.0.0.2 | src: 10.0.0.2 | hop: 10.0.0.2 | cost: 0
to: 10.0.0.2 | src: 10.0.3.1 | hop: 10.0.0.2 | cost: 0
to: 10.0.0.2 | src: 10.0.4.1 | hop: 10.0.0.2 | cost: 0
to: 10.0.3.1 | src: 10.0.0.2 | hop: 10.0.3.1 | cost: 0
to: 10.0.3.1 | src: 10.0.4.1 | hop: 10.0.3.1 | cost: 0
to: 10.0.3.1 | src: 10.0.3.1 | hop: 10.0.3.1 | cost: 0
to: 10.0.4.1 | src: 10.0.0.2 | hop: 10.0.4.1 | cost: 0
to: 10.0.4.1 | src: 10.0.3.1 | hop: 10.0.4.1 | cost: 0
to: 10.0.4.1 | src: 10.0.4.1 | hop: 10.0.4.1 | cost: 0
to: 10.0.0.1 | src: 10.0.4.1 | hop: 10.0.4.1 | cost: 1
to: 10.0.0.1 | src: 10.0.3.1 | hop: 10.0.4.1 | cost: 1
to: 10.0.0.1 | src: 10.0.0.2 | hop: 10.0.0.1 | cost: 1
to: 10.0.1.1 | src: 10.0.4.1 | hop: 10.0.0.2 | cost: 1
to: 10.0.1.1 | src: 10.0.3.1 | hop: 10.0.4.1 | cost: 1
to: 10.0.1.1 | src: 10.0.0.2 | hop: 10.0.4.1 | cost: 1
to: 10.0.2.1 | src: 10.0.4.1 | hop: 10.0.0.2 | cost: 1
to: 10.0.2.1 | src: 10.0.3.1 | hop: 10.0.4.1 | cost: 1
to: 10.0.2.1 | src: 10.0.0.2 | hop: 10.0.0.1 | cost: 1
to: 10.0.4.2 | src: 10.0.0.2 | hop: 10.0.4.1 | cost: 1
to: 10.0.4.2 | src: 10.0.3.1 | hop: 10.0.0.2 | cost: 1
to: 10.0.4.2 | src: 10.0.4.1 | hop: 10.0.4.2 | cost: 1
to: 10.0.5.2 | src: 10.0.0.2 | hop: 10.0.4.2 | cost: 1
to: 10.0.5.2 | src: 10.0.3.1 | hop: 10.0.4.1 | cost: 1
to: 10.0.5.2 | src: 10.0.4.1 | hop: 10.0.0.2 | cost: 1
to: 10.0.6.1 | src: 10.0.0.2 | hop: 10.0.4.1 | cost: 1
to: 10.0.6.1 | src: 10.0.3.1 | hop: 10.0.4.1 | cost: 1
to: 10.0.6.1 | src: 10.0.4.1 | hop: 10.0.0.2 | cost: 1
to: 10.0.2.2 | src: 10.0.0.2 | hop: 10.0.2.1 | cost: 2
to: 10.0.2.2 | src: 10.0.4.1 | hop: 10.0.2.1 | cost: 2
to: 10.0.2.2 | src: 10.0.3.1 | hop: 10.0.2.1 | cost: 2
to: 10.0.5.1 | src: 10.0.0.2 | hop: 10.0.2.1 | cost: 2
to: 10.0.5.1 | src: 10.0.4.1 | hop: 10.0.2.1 | cost: 2
to: 10.0.5.1 | src: 10.0.3.1 | hop: 10.0.2.1 | cost: 2
to: 10.0.8.2 | src: 10.0.3.1 | hop: 10.0.2.1 | cost: 2
to: 10.0.8.2 | src: 10.0.0.2 | hop: 10.0.2.1 | cost: 2
to: 10.0.8.2 | src: 10.0.4.1 | hop: 10.0.2.1 | cost: 2
to: 10.0.1.2 | src: 10.0.3.1 | hop: 10.0.5.2 | cost: 3
to: 10.0.1.2 | src: 10.0.4.1 | hop: 10.0.5.2 | cost: 3
to: 10.0.1.2 | src: 10.0.0.2 | hop: 10.0.5.2 | cost: 3
to: 10.0.3.2 | src: 10.0.4.1 | hop: 10.0.2.2 | cost: 3
to: 10.0.3.2 | src: 10.0.0.2 | hop: 10.0.2.2 | cost: 3
to: 10.0.3.2 | src: 10.0.3.1 | hop: 10.0.2.2 | cost: 3
to: 10.0.6.2 | src: 10.0.0.2 | hop: 10.0.5.2 | cost: 3
to: 10.0.6.2 | src: 10.0.3.1 | hop: 10.0.5.2 | cost: 3
to: 10.0.6.2 | src: 10.0.4.1 | hop: 10.0.5.2 | cost: 3
to: 10.0.7.1 | src: 10.0.4.1 | hop: 10.0.2.2 | cost: 3
to: 10.0.7.1 | src: 10.0.3.1 | hop: 10.0.2.2 | cost: 3
to: 10.0.7.1 | src: 10.0.0.2 | hop: 10.0.2.2 | cost: 3
to: 10.0.7.2 | src: 10.0.0.2 | hop: 10.0.5.2 | cost: 3
to: 10.0.7.2 | src: 10.0.4.1 | hop: 10.0.5.2 | cost: 3
to: 10.0.7.2 | src: 10.0.3.1 | hop: 10.0.5.2 | cost: 3
to: 10.0.8.1 | src: 10.0.3.1 | hop: 10.0.2.2 | cost: 3
to: 10.0.8.1 | src: 10.0.0.2 | hop: 10.0.2.2 | cost: 3
to: 10.0.8.1 | src: 10.0.4.1 | hop: 10.0.2.2 | cost: 3
D:
to: 10.0.4.2 | src: 10.0.4.2 | hop: 10.0.4.2 | cost: 0
to: 10.0.4.2 | src: 10.0.5.2 | hop: 10.0.4.2 | cost: 0
to: 10.0.4.2 | src: 10.0.6.1 | hop: 10.0.4.2 | cost: 0
to: 10.0.5.2 | src: 10.0.4.2 | hop: 10.0.5.2 | cost: 0
to: 10.0.5.2 | src: 10.0.5.2 | hop: 10.0.5.2 | cost: 0
to: 10.0.5.2 | src: 10.0.6.1 | hop: 10.0.5.2 | cost: 0
to: 10.0.6.1 | src: 10.0.4.2 | hop: 10.0.6.1 | cost: 0
to: 10.0.6.1 | src: 10.0.5.2 | hop: 10.0.6.1 | cost: 0
to: 10.0.6.1 | src: 10.0.6.1 | hop: 10.0.6.1 | cost: 0
to: 10.0.0.2 | src: 10.0.5.2 | hop: 10.0.4.1 | cost: 1
to: 10.0.0.2 | src: 10.0.4.2 | hop: 10.0.6.1 | cost: 1
to: 10.0.0.2 | src: 10.0.6.1 | hop: 10.0.5.2 | cost: 1
to: 10.0.3.1 | src: 10.0.6.1 | hop: 10.0.5.2 | cost: 1
to: 10.0.3.1 | src: 10.0.5.2 | hop: 10.0.5.2 | cost: 1
to: 10.0.3.1 | src: 10.0.4.2 | hop: 10.0.6.1 | cost: 1
to: 10.0.4.1 | src: 10.0.6.1 | hop: 10.0.5.2 | cost: 1
to: 10.0.4.1 | src: 10.0.4.2 | hop: 10.0.4.1 | cost: 1
to: 10.0.4.1 | src: 10.0.5.2 | hop: 10.0.6.1 | cost: 1
to: 10.0.0.1 | src: 10.0.6.1 | hop: 10.0.0.2 | cost: 2
to: 10.0.0.1 | src: 10.0.4.2 | hop: 10.0.0.2 | cost: 2
to: 10.0.0.1 | src: 10.0.5.2 | hop: 10.0.0.2 | cost: 2
to: 10.0.1.1 | src: 10.0.4.2 | hop: 10.0.0.2 | cost: 2
to: 10.0.1.1 | src: 10.0.6.1 | hop: 10.0.0.2 | cost: 2
to: 10.0.1.1 | src: 10.0.5.2 | hop: 10.0.0.2 | cost: 2
to: 10.0.1.2 | src: 10.0.4.2 | hop: 10.0.6.1 | cost: 2
to: 10.0.1.2 | src: 10.0.6.1 | hop: 10.0.5.2 | cost: 2
to: 10.0.1.2 | src: 10.0.5.2 | hop: 10.0.6.1 | cost: 2
to: 10.0.2.1 | src: 10.0.4.2 | hop: 10.0.0.2 | cost: 2
to: 10.0.2.1 | src: 10.0.6.1 | hop: 10.0.0.2 | cost: 2
to: 10.0.2.1 | src: 10.0.5.2 | hop: 10.0.0.2 | cost: 2
to: 10.0.6.2 | src: 10.0.6.1 | hop: 10.0.6.2 | cost: 2
to: 10.0.6.2 | src: 10.0.5.2 | hop: 10.0.6.1 | cost: 2
to: 10.0.6.2 | src: 10.0.4.2 | hop: 10.0.5.2 | cost: 2
to: 10.0.7.2 | src: 10.0.5.2 | hop: 10.0.5.2 | cost: 2
to: 10.0.7.2 | src: 10.0.6.1 | hop: 10.0.5.2 | cost: 2
to: 10.0.7.2 | src: 10.0.4.2 | hop: 10.0.6.1 | cost: 2
to: 10.0.2.2 | src: 10.0.6.1 | hop: 10.0.2.1 | cost: 3
to: 10.0.2.2 | src: 10.0.5.2 | hop: 10.0.2.1 | cost: 3
to: 10.0.2.2 | src: 10.0.4.2 | hop: 10.0.2.1 | cost: 3
to: 10.0.5.1 | src: 10.0.5.2 | hop: 10.0.2.1 | cost: 3
to: 10.0.5.1 | src: 10.0.6.1 | hop: 10.0.2.1 | cost: 3
to: 10.0.5.1 | src: 10.0.4.2 | hop: 10.0.2.1 | cost: 3
to: 10.0.8.2 | src: 10.0.4.2 | hop: 10.0.2.1 | cost: 3
to: 10.0.8.2 | src: 10.0.6.1 | hop: 10.0.2.1 | cost: 3
to: 10.0.8.2 | src: 10.0.5.2 | hop: 10.0.2.1 | cost: 3
to: 10.0.3.2 | src: 10.0.4.2 | hop: 10.0.2.2 | cost: 4
to: 10.0.3.2 | src: 10.0.5.2 | hop: 10.0.2.2 | cost: 4
to: 10.0.3.2 | src: 10.0.6.1 | hop: 10.0.2.2 | cost: 4
to: 10.0.7.1 | src: 10.0.5.2 | hop: 10.0.2.2 | cost: 4
to: 10.0.7.1 | src: 10.0.4.2 | hop: 10.0.2.2 | cost: 4
to: 10.0.7.1 | src: 10.0.6.1 | hop: 10.0.2.2 | cost: 4
to: 10.0.8.1 | src: 10.0.5.2 | hop: 10.0.2.2 | cost: 4
to: 10.0.8.1 | src: 10.0.6.1 | hop: 10.0.2.2 | cost: 4
to: 10.0.8.1 | src: 10.0.4.2 | hop: 10.0.2.2 | cost: 4
E:
to: 10.0.3.2 | src: 10.0.3.2 | hop: 10.0.3.2 | cost: 0
to: 10.0.3.2 | src: 10.0.7.1 | hop: 10.0.3.2 | cost: 0
to: 10.0.3.2 | src: 10.0.8.1 | hop: 10.0.3.2 | cost: 0
to: 10.0.7.1 | src: 10.0.7.1 | hop: 10.0.7.1 | cost: 0
to: 10.0.7.1 | src: 10.0.8.1 | hop: 10.0.7.1 | cost: 0
to: 10.0.7.1 | src: 10.0.3.2 | hop: 10.0.7.1 | cost: 0
to: 10.0.8.1 | src: 10.0.3.2 | hop: 10.0.8.1 | cost: 0
to: 10.0.8.1 | src: 10.0.7.1 | hop: 10.0.8.1 | cost: 0
to: 10.0.8.1 | src: 10.0.8.1 | hop: 10.0.8.1 | cost: 0
to: 10.0.2.2 | src: 10.0.3.2 | hop: 10.0.8.2 | cost: 1
to: 10.0.2.2 | src: 10.0.8.1 | hop: 10.0.3.2 | cost: 1
to: 10.0.2.2 | src: 10.0.7.1 | hop: 10.0.8.1 | cost: 1
to: 10.0.5.1 | src: 10.0.7.1 | hop: 10.0.8.1 | cost: 1
to: 10.0.5.1 | src: 10.0.8.1 | hop: 10.0.3.2 | cost: 1
to: 10.0.5.1 | src: 10.0.3.2 | hop: 10.0.8.1 | cost: 1
to: 10.0.8.2 | src: 10.0.8.1 | hop: 10.0.8.2 | cost: 1
to: 10.0.8.2 | src: 10.0.7.1 | hop: 10.0.3.2 | cost: 1
to: 10.0.8.2 | src: 10.0.3.2 | hop: 10.0.8.1 | cost: 1
to: 10.0.0.1 | src: 10.0.8.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.0.1 | src: 10.0.7.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.0.1 | src: 10.0.3.2 | hop: 10.0.2.2 | cost: 2
to: 10.0.1.1 | src: 10.0.7.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.1.1 | src: 10.0.8.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.1.1 | src: 10.0.3.2 | hop: 10.0.2.2 | cost: 2
to: 10.0.2.1 | src: 10.0.7.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.2.1 | src: 10.0.3.2 | hop: 10.0.2.2 | cost: 2
to: 10.0.2.1 | src: 10.0.8.1 | hop: 10.0.2.2 | cost: 2
to: 10.0.0.2 | src: 10.0.7.1 | hop: 10.0.2.1 | cost: 3
to: 10.0.0.2 | src: 10.0.8.1 | hop: 10.0.2.1 | cost: 3
to: 10.0.0.2 | src: 10.0.3.2 | hop: 10.0.2.1 | cost: 3
to: 10.0.1.2 | src: 10.0.7.1 | hop: 10.0.8.1 | cost: 3
to: 10.0.1.2 | src: 10.0.8.1 | hop: 10.0.3.2 | cost: 3
to: 10.0.1.2 | src: 10.0.3.2 | hop: 10.0.3.2 | cost: 3
to: 10.0.3.1 | src: 10.0.7.1 | hop: 10.0.2.1 | cost: 3
to: 10.0.3.1 | src: 10.0.3.2 | hop: 10.0.2.1 | cost: 3
to: 10.0.3.1 | src: 10.0.8.1 | hop: 10.0.2.1 | cost: 3
to: 10.0.4.1 | src: 10.0.8.1 | hop: 10.0.2.1 | cost: 3
to: 10.0.4.1 | src: 10.0.7.1 | hop: 10.0.2.1 | cost: 3
to: 10.0.4.1 | src: 10.0.3.2 | hop: 10.0.2.1 | cost: 3
to: 10.0.6.2 | src: 10.0.3.2 | hop: 10.0.7.2 | cost: 3
to: 10.0.6.2 | src: 10.0.7.1 | hop: 10.0.8.1 | cost: 3
to: 10.0.6.2 | src: 10.0.8.1 | hop: 10.0.3.2 | cost: 3
to: 10.0.7.2 | src: 10.0.3.2 | hop: 10.0.8.1 | cost: 3
to: 10.0.7.2 | src: 10.0.8.1 | hop: 10.0.3.2 | cost: 3
to: 10.0.7.2 | src: 10.0.7.1 | hop: 10.0.7.2 | cost: 3
to: 10.0.4.2 | src: 10.0.3.2 | hop: 10.0.0.2 | cost: 4
to: 10.0.4.2 | src: 10.0.8.1 | hop: 10.0.0.2 | cost: 4
to: 10.0.4.2 | src: 10.0.7.1 | hop: 10.0.0.2 | cost: 4
to: 10.0.5.2 | src: 10.0.3.2 | hop: 10.0.0.2 | cost: 4
to: 10.0.5.2 | src: 10.0.7.1 | hop: 10.0.0.2 | cost: 4
to: 10.0.5.2 | src: 10.0.8.1 | hop: 10.0.0.2 | cost: 4
to: 10.0.6.1 | src: 10.0.7.1 | hop: 10.0.0.2 | cost: 4
to: 10.0.6.1 | src: 10.0.8.1 | hop: 10.0.0.2 | cost: 4
to: 10.0.6.1 | src: 10.0.3.2 | hop: 10.0.0.2 | cost: 4
F:
to: 10.0.1.2 | src: 10.0.1.2 | hop: 10.0.1.2 | cost: 0
to: 10.0.1.2 | src: 10.0.6.2 | hop: 10.0.1.2 | cost: 0
to: 10.0.1.2 | src: 10.0.7.2 | hop: 10.0.1.2 | cost: 0
to: 10.0.6.2 | src: 10.0.6.2 | hop: 10.0.6.2 | cost: 0
to: 10.0.6.2 | src: 10.0.1.2 | hop: 10.0.6.2 | cost: 0
to: 10.0.6.2 | src: 10.0.7.2 | hop: 10.0.6.2 | cost: 0
to: 10.0.7.2 | src: 10.0.7.2 | hop: 10.0.7.2 | cost: 0
to: 10.0.7.2 | src: 10.0.1.2 | hop: 10.0.7.2 | cost: 0
to: 10.0.7.2 | src: 10.0.6.2 | hop: 10.0.7.2 | cost: 0
to: 10.0.4.2 | src: 10.0.6.2 | hop: 10.0.7.2 | cost: 2
to: 10.0.4.2 | src: 10.0.1.2 | hop: 10.0.7.2 | cost: 2
to: 10.0.4.2 | src: 10.0.7.2 | hop: 10.0.6.2 | cost: 2
to: 10.0.5.2 | src: 10.0.7.2 | hop: 10.0.6.2 | cost: 2
to: 10.0.5.2 | src: 10.0.1.2 | hop: 10.0.7.2 | cost: 2
to: 10.0.5.2 | src: 10.0.6.2 | hop: 10.0.6.1 | cost: 2
to: 10.0.6.1 | src: 10.0.6.2 | hop: 10.0.6.1 | cost: 2
to: 10.0.6.1 | src: 10.0.7.2 | hop: 10.0.7.2 | cost: 2
to: 10.0.6.1 | src: 10.0.1.2 | hop: 10.0.7.2 | cost: 2
to: 10.0.0.2 | src: 10.0.1.2 | hop: 10.0.5.2 | cost: 3
to: 10.0.0.2 | src: 10.0.7.2 | hop: 10.0.5.2 | cost: 3
to: 10.0.0.2 | src: 10.0.6.2 | hop: 10.0.5.2 | cost: 3
to: 10.0.3.1 | src: 10.0.7.2 | hop: 10.0.5.2 | cost: 3
to: 10.0.3.1 | src: 10.0.1.2 | hop: 10.0.5.2 | cost: 3
to: 10.0.3.1 | src: 10.0.6.2 | hop: 10.0.5.2 | cost: 3
to: 10.0.3.2 | src: 10.0.6.2 | hop: 10.0.7.1 | cost: 3
to: 10.0.3.2 | src: 10.0.1.2 | hop: 10.0.7.2 | cost: 3
to: 10.0.3.2 | src: 10.0.7.2 | hop: 10.0.6.2 | cost: 3
to: 10.0.4.1 | src: 10.0.6.2 | hop: 10.0.5.2 | cost: 3
to: 10.0.4.1 | src: 10.0.1.2 | hop: 10.0.5.2 | cost: 3
to: 10.0.4.1 | src: 10.0.7.2 | hop: 10.0.5.2 | cost: 3
to: 10.0.7.1 | src: 10.0.7.2 | hop: 10.0.7.1 | cost: 3
to: 10.0.7.1 | src: 10.0.1.2 | hop: 10.0.6.2 | cost: 3
to: 10.0.7.1 | src: 10.0.6.2 | hop: 10.0.7.2 | cost: 3
to: 10.0.8.1 | src: 10.0.1.2 | hop: 10.0.7.2 | cost: 3
to: 10.0.8.1 | src: 10.0.7.2 | hop: 10.0.6.2 | cost: 3
to: 10.0.8.1 | src: 10.0.6.2 | hop: 10.0.7.2 | cost: 3
to: 10.0.0.1 | src: 10.0.7.2 | hop: 10.0.0.2 | cost: 4
to: 10.0.0.1 | src: 10.0.6.2 | hop: 10.0.0.2 | cost: 4
to: 10.0.0.1 | src: 10.0.1.2 | hop: 10.0.0.2 | cost: 4
to: 10.0.1.1 | src: 10.0.6.2 | hop: 10.0.0.2 | cost: 4
to: 10.0.1.1 | src: 10.0.7.2 | hop: 10.0.0.2 | cost: 4
to: 10.0.1.1 | src: 10.0.1.2 | hop: 10.0.0.2 | cost: 4
to: 10.0.2.1 | src: 10.0.7.2 | hop: 10.0.0.2 | cost: 4
to: 10.0.2.1 | src: 10.0.6.2 | hop: 10.0.0.2 | cost: 4
to: 10.0.2.1 | src: 10.0.1.2 | hop: 10.0.0.2 | cost: 4
to: 10.0.2.2 | src: 10.0.1.2 | hop: 10.0.3.2 | cost: 4
to: 10.0.2.2 | src: 10.0.6.2 | hop: 10.0.3.2 | cost: 4
to: 10.0.2.2 | src: 10.0.7.2 | hop: 10.0.3.2 | cost: 4
to: 10.0.5.1 | src: 10.0.7.2 | hop: 10.0.3.2 | cost: 4
to: 10.0.5.1 | src: 10.0.1.2 | hop: 10.0.3.2 | cost: 4
to: 10.0.5.1 | src: 10.0.6.2 | hop: 10.0.3.2 | cost: 4
to: 10.0.8.2 | src: 10.0.6.2 | hop: 10.0.3.2 | cost: 4
to: 10.0.8.2 | src: 10.0.1.2 | hop: 10.0.3.2 | cost: 4
to: 10.0.8.2 | src: 10.0.7.2 | hop: 10.0.3.2 | cost: 4
